title,link
"Florida man stuffs balled-up baby wipe down infant's throat, police say",https://www.local10.com/news/florida/florida-man-stuffs-balled-up-baby-wipe-down-infants-throat
Hero waitress body slams Florida man who touched her buttocks,https://www.local10.com/news/hero-waitress-body-slams-florida-man-who-touched-her-buttocks
Florida man scheduled to be executed for 1992 murder of North Miami woman,https://www.local10.com/news/florida/north-miami/florida-man-scheduled-to-be-executed-for-1992-murder-of-north-miami-woman
"Florida man charged with murder in XXXTentacion's killing, police say",https://www.local10.com/entertainment/florida-man-charged-with-murder-in-xxxtentacions-killing-police-say
Lucky break: Florida man uses cast on his arm to save neighbor from fire,https://www.local10.com/news/talkers/lucky-break-florida-man-uses-cast-on-his-arm-to-save-neighbor-from-fire
"Florida man didn't drink while driving, only while stopped at traffic lights",https://www.local10.com/news/florida/florida-man-didnt-drink-while-driving-only-while-stopped-at-traffic-lights
Florida man wanted for hitting store clerk who refused to sell beer,https://www.local10.com/news/florida/florida-man-wanted-for-hitting-store-clerk-who-refused-to-sell-beer
Florida man seriously hurt in ocean warns of dangers of diving with waves,https://www.local10.com/news/florida/florida-man-seriously-hurt-in-ocean-warns-of-dangers-of-diving-with-waves
"Florida man worried about vampires burns down his house, police say",https://www.local10.com/news/florida/florida-man-worried-about-vampires-burns-down-his-house-police-say
Florida man caught masturbating tells police he's Captain Kirk from 'Star Trek',https://www.local10.com/news/weird-news/florida-man-caught-masturbating-tells-police-hes-captain-kirk-from-star-trek
"Florida man intentionally drove into family on bicycle ride, killing father, police say",https://www.local10.com/news/florida/florida-man-intentionally-drove-into-family-on-bicycle-ride-police-say
South Florida man impresses people nationwide while putting a spin on store sales,https://www.local10.com/news/south-florida-man-impresses-people-nationwide-while-putting-a-spin-on-store-sales
Florida man kills pit bull by dragging dog behind truck,https://www.local10.com/news/florida/florida-man-kills-pit-bull-by-dragging-dog-behind-truck
Florida man stuffs foot-long sub down pants in sandwich theft,https://www.local10.com/news/florida-man-stuffs-foot-long-sub-down-pants-in-sandwich-theft
"'Get out of my country,' Florida man tells customers at McDonald's",https://www.local10.com/news/florida/get-out-of-my-country-florida-man-tells-customers-at-mcdonalds
"Florida man who killed woman inside Walmart arrested, police say",https://www.local10.com/news/florida/florida-police-hunt-for-man-who-killed-woman-inside-walmart
"Florida man confesses to having sex with miniature pony, deputies say",https://www.local10.com/news/florida/florida-man-confesses-to-having-sex-with-miniature-pony-deputies-say
"Florida man passes himself off as decorated war veteran to land job, police say",https://www.local10.com/news/florida/florida-man-passes-himself-off-as-decorated-war-veteran-to-land-job-police-say
Florida man bitten after jumping into alligator farm exhibit,https://www.local10.com/news/florida/florida-man-bitten-after-jumping-into-alligator-farm-exhibit
South Florida man accused of helping fugitive father posts $2 million bond,https://www.local10.com/news/florida/miami-dade/south-florida-man-appears-in-bond-court-after-allegedly-helping-fugitive-father
"Florida man interviews for Kohl's job, steals shoes on his way out",https://www.local10.com/news/florida/florida-man-interviews-for-kohls-job-steals-shoes-on-his-way-out
"Florida man shoots wife on bathroom break, mistaking her for burglar",https://www.local10.com/news/florida/florida-man-shoots-wife-on-bathroom-break-mistaking-her-for-burglar
"South Florida man, 78, accused of giving 10-year-old girl herpes",https://www.local10.com/news/crime/south-florida-man-78-accused-of-giving-10-year-old-girl-herpes
"Florida man tells middle school son to fight another boy, shoves teen himself",https://www.local10.com/news/florida/florida-man-tells-middle-school-son-to-fight-another-boy-shoves-teen-himself
Florida man dressed as Fred Flintstone pulled over for driving 'footmobile',https://www.local10.com/news/talkers/florida-man-dressed-as-fred-flintstone-pulled-over-for-driving-footmobile-1
South Florida man bites dog's ear 'to establish dominance',https://www.local10.com/news/florida/palm-beach-county/south-florida-man-bites-dogs-ear-to-establish-dominance
South Florida man sentenced to 42 years in prison for fatally stabbing estranged girlfriend,https://www.local10.com/news/florida/palm-beach-county/south-florida-man-sentenced-to-42-years-in-prison-for-fatally-stabbing-estranged-girlfriend
"Florida man threatened to kidnap Lana Del Rey, police say",https://www.local10.com/news/florida/man-arrested-after-police-receive-tip-about-threat-to-lana-del-rey
South Florida man killed in skiing accident in Montana,https://www.local10.com/news/florida/broward/south-florida-man-killed-in-skiing-accident-in-montana
"South Florida man honors injured, fallen police officers from around US",https://www.local10.com/community/south-florida-man-honors-injured-fallen-police-officers-from-around-us
South Florida man gets 2 years for attacking Miami airport officers,https://www.local10.com/news/crime/south-florida-man-gets-2-years-for-attacking-miami-airport-officers
Florida man who posed as housewife to trick men into sex gets 3 years in prison,https://www.local10.com/news/florida/miami-dade/florida-man-who-posed-as-housewife-to-trick-men-into-sex-gets-3-years-in-prison
Florida man rigs door in attempt to electrocute estranged pregnant wife,https://www.local10.com/news/weird-news/florida-man-rigs-door-in-attempt-to-electrocute-estranged-pregnant-wife
Florida man says he punched ATM for giving too much money,https://www.local10.com/news/weird-news/florida-man-says-he-punched-atm-for-giving-too-much-money
"WKMG: Florida man drives across state to rape child he met online, deputies say",https://www.clickorlando.com/news/florida-man-drove-across-state-to-rape-child-he-met-online-deputies-say?utm_source=gmg&utm_campaign=links
Florida man makes beer run with gator in hand,https://www.local10.com/news/florida/florida-man-makes-beer-run-with-gator-in-hand-1
"Florida man beats stepson to death, forces boy's brothers to sleep with body",https://www.local10.com/news/florida/florida-man-beats-stepson-to-death-forces-boy-s-brothers-to-sleep-with-body
Prosecutor charges Florida man in 'stand your ground' case,https://www.local10.com/news/national/florida-man-charged-with-manslaughter-in-stand-your-ground-case
Size matters: Florida man arrested for dinner complaints,https://www.local10.com/news/florida/size-matters-florida-man-arrested-for-dinner-complaints
"Florida man, 20, claims $451 million Mega Millions lottery jackpot",https://www.local10.com/news/florida/florida-man-20-claims-451-million-lottery-jackpot
"Florida man arrested after urinating on floor of plane at airport, police say",https://www.local10.com/news/weird-news/florida-man-arrested-after-urinating-on-floor-of-plane-at-airport-police-say
South Florida man accused of watching teen get dressed through bedroom window,https://www.local10.com/news/florida/north-miami-beach/south-florida-man-accused-of-watching-girl-get-dressed-through-bedroom-window
"Florida man pepper sprays teen in fight over $3, police say",https://www.local10.com/news/national/florida-man-pepper-sprays-teen-in-fight-over-3-police-say
"Claiming years of abuse, South Florida man fatally shoots mother's boyfriend",https://www.local10.com/news/florida/palm-beach-county/claiming-years-of-abuse-south-florida-man-fatally-shoots-mothers-boyfriend
"South Florida man handcuffed boy to dog cage, refused to feed him, police say",https://www.local10.com/news/florida/palm-beach-county/south-florida-man-handcuffed-boy-to-dog-cage-refused-to-feed-him-police-say
South Florida man accused of boating while intoxicated after dinghy sinks,https://www.local10.com/news/florida/palm-beach-county/south-florida-man-accused-of-boating-while-intoxicated-after-dinghy-sinks
PHOTOS: Florida man dressed as Fred Flintstone pulled over in footmobile,https://www.local10.com/slideshow/photos-florida-man-dressed-as-fred-flintstone-pulled-over-in-footmobile
"South Florida man kidnaps, beats ex-girlfriend, police say",https://www.local10.com/news/crime/south-florida-man-kidnaps-beats-ex-girlfriend-police-say
"Florida man arrested after girlfriend, infant found dead inside burning apartment",http://www.local10.com/news/crime/florida-man-arrested-after-girlfriend-infant-found-dead-inside-burning-apartment
"Florida man arrested for doughnut glaze gets $37,500",https://www.local10.com/news/florida-man-arrested-for-doughnut-glaze-gets-37500
8 dead after Florida man drives through bicycle path in New York City,https://www.local10.com/news/8-dead-after-florida-man-drives-through-bicycle-path-in-new-york-city
"South Florida man fatally shoots twin of sibling's accused killer, police say",https://www.local10.com/news/crime/south-florida-man-fatally-shoots-twin-of-sibling-s-accused-killer
"Florida man tries to conceal $1,000 cash in rectum, deputies say",http://www.local10.com/news/weird-news/florida-man-tries-to-conceal-1000-cash-in-rectum-deputies-say
